2022-12-01_18:34:25.570 | INFO    | 0x0000DFB0 | InprocessEventProcessor initialized
2022-12-01_18:34:25.571 | INFO    | 0x0000DFB0 | Event Handling working in "inprocess only" mode
2022-12-01_18:34:25.571 | INFO    | 0x0000DFB0 | Self crash handling enabled. Reports folder path="P:\temp\lite_ue_1.19\asset_pipeline\Reports". Reports url="http://cat.wargaming.net"
2022-12-01_18:34:25.571 | INFO    | 0x0000889C | Initializing selfcrashandling... 
2022-12-01_18:34:25.571 | INFO    | 0x0000DFB0 | Monitor started, product version="03.08.00.3538", file version="03.08.00.3538", pid=70564, hw_id="f8010810-ec0b-4bc2-a4f0-5451034a8bf9", instance_id="2304d975-dee8-45ff-909c-ea33162e40e0" OS name="Windows 10 (10.0.19042)" platform="x64" (native) 
2022-12-01_18:34:25.575 | INFO    | 0x0000889C | Selfcrashandling initialization finished
2022-12-01_18:34:25.575 | INFO    | 0x0000DFB0 | Superuser app id="wot_Jit_compiler"
2022-12-01_18:34:25.575 | INFO    | 0x0000DFB0 | Starting IPC server
2022-12-01_18:34:25.575 | INFO    | 0x00009D94 | Report processor thread: started
2022-12-01_18:34:25.576 | INFO    | 0x0000DFB0 | IPC server successfully started
2022-12-01_18:34:25.576 | INFO    | 0x0000DFB0 | Waiting for clients to connect...
2022-12-01_18:34:25.576 | INFO    | 0x0000A738 | New connection request from pid="63320", clid="1", exe="jit_compiler.exe" . Establishing connection... 
2022-12-01_18:34:25.576 | INFO    | 0x0000DA78 | Monitor log cleanup was triggered, log files max count: 5. Removed log files: ["monitor_20221201_1824100746.log"]
2022-12-01_18:34:25.577 | INFO    | 0x0000A738 | Client pid="63320", clid="1", exe="jit_compiler.exe"  connected
2022-12-01_18:34:25.591 | INFO    | 0x0000A738 | Client connected, application ID="wot_Jit_compiler", version="June 2017 - 2017.1.0" 
2022-12-01_18:34:25.592 | INFO    | 0x0000DA78 | Looking for unprocessed reports in folder="P:\temp\lite_ue_1.19\asset_pipeline\Reports"
2022-12-01_18:34:25.592 | INFO    | 0x0000DA78 | Looking for unprocessed reports in folder="P:\temp\lite_ue_1.19\asset_pipeline\Reports"
2022-12-01_18:34:25.737 | INFO    | 0x0000AEA4 | Config for client(clid="1") was successfully updated from the server(url="http://cat-st1.wargaming.net/")
2022-12-01_18:34:26.656 | INFO    | 0x0000AD74 | Statistic event="client_connected" event_id="6849903204700" was successfully sent to the url="http://cat.wargaming.net".
2022-12-01_18:34:26.816 | INFO    | 0x0000AD74 | Statistic event="client_connected" event_id="6849918490000" was successfully sent to the url="http://cat-st1.wargaming.net/".
2022-12-01_18:34:27.818 | INFO    | 0x0000AD74 | Statistic event="monitor_online" event_id="6849918703700" was successfully sent to the url="http://cat-st1.wargaming.net/".
2022-12-01_18:34:51.432 | INFO    | 0x0000889C | Client pid="63320", clid="1" disconnected
2022-12-01_18:34:51.432 | INFO    | 0x0000889C | Queuing shutting down...
2022-12-01_18:34:51.433 | INFO    | 0x0000DFB0 | Server stopped
2022-12-01_18:34:51.456 | INFO    | 0x0000DFB0 | Normal exit
