2022-12-01_18:35:09.382 | INFO    | 0x0000D5A4 | InprocessEventProcessor initialized
2022-12-01_18:35:09.382 | INFO    | 0x0000D5A4 | Event Handling working in "inprocess only" mode
2022-12-01_18:35:09.382 | INFO    | 0x0000D5A4 | Self crash handling enabled. Reports folder path="P:\temp\lite_ue_1.19\asset_pipeline\Reports". Reports url="http://cat.wargaming.net"
2022-12-01_18:35:09.383 | INFO    | 0x00009688 | Initializing selfcrashandling... 
2022-12-01_18:35:09.383 | INFO    | 0x0000D5A4 | Monitor started, product version="03.08.00.3538", file version="03.08.00.3538", pid=58884, hw_id="f8010810-ec0b-4bc2-a4f0-5451034a8bf9", instance_id="d1f3c2e0-cb65-4b86-a3c3-6099fc7035fd" OS name="Windows 10 (10.0.19042)" platform="x64" (native) 
2022-12-01_18:35:09.384 | INFO    | 0x00009688 | Selfcrashandling initialization finished
2022-12-01_18:35:09.384 | INFO    | 0x0000D5A4 | Superuser app id="wot_Jit_compiler"
2022-12-01_18:35:09.384 | INFO    | 0x0000D5A4 | Starting IPC server
2022-12-01_18:35:09.384 | INFO    | 0x00002798 | Report processor thread: started
2022-12-01_18:35:09.384 | INFO    | 0x0000D5A4 | IPC server successfully started
2022-12-01_18:35:09.385 | INFO    | 0x0000D5A4 | Waiting for clients to connect...
2022-12-01_18:35:09.385 | INFO    | 0x00009A2C | New connection request from pid="38836", clid="1", exe="jit_compiler.exe" . Establishing connection... 
2022-12-01_18:35:09.385 | INFO    | 0x0000FCFC | Monitor log cleanup was triggered, log files max count: 5. Removed log files: ["monitor_20221201_1824100863.log"]
2022-12-01_18:35:09.385 | INFO    | 0x00009A2C | Client pid="38836", clid="1", exe="jit_compiler.exe"  connected
2022-12-01_18:35:09.395 | INFO    | 0x00009A2C | Client connected, application ID="wot_Jit_compiler", version="June 2017 - 2017.1.0" 
2022-12-01_18:35:09.395 | INFO    | 0x00009688 | Client pid="38836", clid="1" disconnected
2022-12-01_18:35:09.395 | INFO    | 0x0000FCFC | Looking for unprocessed reports in folder="P:\temp\lite_ue_1.19\asset_pipeline\Reports"
2022-12-01_18:35:09.396 | INFO    | 0x00009688 | Queuing shutting down...
2022-12-01_18:35:09.396 | INFO    | 0x0000D5A4 | Server stopped
2022-12-01_18:35:09.743 | INFO    | 0x00007EE8 | Statistic event="client_connected" event_id="6893711920900" was successfully sent to the url="http://cat.wargaming.net".
2022-12-01_18:35:09.743 | INFO    | 0x0000D5A4 | Normal exit
