2022-12-01_18:35:09.496 | INFO    | 0x0000C0F0 | InprocessEventProcessor initialized
2022-12-01_18:35:09.496 | INFO    | 0x0000C0F0 | Event Handling working in "inprocess only" mode
2022-12-01_18:35:09.497 | INFO    | 0x0000C0F0 | Self crash handling enabled. Reports folder path="P:\temp\lite_ue_1.19\asset_pipeline\Reports". Reports url="http://cat.wargaming.net"
2022-12-01_18:35:09.497 | INFO    | 0x0000C6EC | Initializing selfcrashandling... 
2022-12-01_18:35:09.497 | INFO    | 0x0000C0F0 | Monitor started, product version="03.08.00.3538", file version="03.08.00.3538", pid=45896, hw_id="f8010810-ec0b-4bc2-a4f0-5451034a8bf9", instance_id="5a807ed5-f45d-4ed9-864e-9f1eae13e323" OS name="Windows 10 (10.0.19042)" platform="x64" (native) 
2022-12-01_18:35:09.498 | INFO    | 0x0000C6EC | Selfcrashandling initialization finished
2022-12-01_18:35:09.498 | INFO    | 0x0000C0F0 | Superuser app id="wot_Jit_compiler"
2022-12-01_18:35:09.498 | INFO    | 0x0000C0F0 | Starting IPC server
2022-12-01_18:35:09.498 | INFO    | 0x00009BA4 | Report processor thread: started
2022-12-01_18:35:09.498 | INFO    | 0x0000C0F0 | IPC server successfully started
2022-12-01_18:35:09.498 | INFO    | 0x0000C0F0 | Waiting for clients to connect...
2022-12-01_18:35:09.499 | INFO    | 0x0000ACD0 | New connection request from pid="38836", clid="1", exe="jit_compiler.exe" . Establishing connection... 
2022-12-01_18:35:09.499 | INFO    | 0x0000ACD0 | Client pid="38836", clid="1", exe="jit_compiler.exe"  connected
2022-12-01_18:35:09.499 | INFO    | 0x00004DDC | Monitor log cleanup was triggered, log files max count: 5. Removed log files: ["monitor_20221201_1831520063.log"]
2022-12-01_18:35:09.509 | INFO    | 0x0000ACD0 | Client connected, application ID="wot_Jit_compiler", version="June 2017 - 2017.1.0" 
2022-12-01_18:35:09.509 | INFO    | 0x00004DDC | Looking for unprocessed reports in folder="P:\temp\lite_ue_1.19\asset_pipeline\Reports"
2022-12-01_18:35:09.510 | INFO    | 0x00004DDC | Looking for unprocessed reports in folder="P:\temp\lite_ue_1.19\asset_pipeline\Reports"
2022-12-01_18:35:09.697 | INFO    | 0x0000A014 | Config for client(clid="1") was successfully updated from the server(url="http://cat-st1.wargaming.net/")
2022-12-01_18:35:10.805 | INFO    | 0x0000EE4C | Statistic event="client_connected" event_id="6893825748100" was successfully sent to the url="http://cat.wargaming.net".
2022-12-01_18:35:10.965 | INFO    | 0x0000EE4C | Statistic event="client_connected" event_id="6893836036100" was successfully sent to the url="http://cat-st1.wargaming.net/".
2022-12-01_18:35:11.986 | INFO    | 0x0000EE4C | Statistic event="monitor_online" event_id="6893836247500" was successfully sent to the url="http://cat-st1.wargaming.net/".
2022-12-01_18:39:49.345 | INFO    | 0x00001324 | Client pid="38836", clid="1" disconnected
2022-12-01_18:39:49.346 | INFO    | 0x00001324 | Queuing shutting down...
2022-12-01_18:39:49.346 | INFO    | 0x0000C0F0 | Server stopped
2022-12-01_18:39:49.360 | INFO    | 0x0000C0F0 | Normal exit
