2022-12-01 18:44:41.413:   WARNING: Cannot create remote cache directory //assetcache/assetcache/assetcache_wot/
2022-12-01 18:44:41.415:   INFO: Loading Plugin hierarchical_config_converter as specified in file
2022-12-01 18:44:41.415:   INFO: Loading plugin file P:/temp/lite_ue_1.19/asset_pipeline/hierarchical_config_converter.dll
2022-12-01 18:44:41.416:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher data_section_census.cpp
2022-12-01 18:44:41.416:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher datasection.cpp
2022-12-01 18:44:41.416:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher xml_section.cpp
2022-12-01 18:44:41.416:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher packed_section.cpp
2022-12-01 18:44:41.416:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher binary_block.cpp
2022-12-01 18:44:41.416:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher bin_section.cpp
2022-12-01 18:44:41.416:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher xml_special_chars.cpp
2022-12-01 18:44:41.416:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher xml_import_loader.cpp
2022-12-01 18:44:41.416:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher vector3.cpp
2022-12-01 18:44:41.416:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher vector4.cpp
2022-12-01 18:44:41.416:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher vector2.cpp
2022-12-01 18:44:41.416:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher dir_section.cpp
2022-12-01 18:44:41.416:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher access_monitor.cpp
2022-12-01 18:44:41.416:   ERROR: Unable to read app_type.xml, cannot retrieve active content type
2022-12-01 18:44:41.416:   INFO: Added res path: "P:/res/.jit/output/"
2022-12-01 18:44:41.416:   INFO: Added res path: "P:/res/.jit/intermediate/"
2022-12-01 18:44:41.417:   INFO: Added res path: "P:/temp/lite_ue_1.19/res/"
2022-12-01 18:44:41.418:   INFO: Loading Plugin space_converter as specified in file
2022-12-01 18:44:41.418:   INFO: Loading plugin file P:/temp/lite_ue_1.19/asset_pipeline/space_converter.dll
2022-12-01 18:44:41.430:   INFO: Registering factory for terrain
2022-12-01 18:44:41.430:   INFO: Registering factory for model
2022-12-01 18:44:41.430:   INFO: Registering factory for speedtree
2022-12-01 18:44:41.430:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher data_section_census.cpp
2022-12-01 18:44:41.430:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher datasection.cpp
2022-12-01 18:44:41.430:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher binary_block.cpp
2022-12-01 18:44:41.430:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher xml_section.cpp
2022-12-01 18:44:41.430:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher bin_section.cpp
2022-12-01 18:44:41.430:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher packed_section.cpp
2022-12-01 18:44:41.430:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher xml_special_chars.cpp
2022-12-01 18:44:41.430:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher xml_import_loader.cpp
2022-12-01 18:44:41.465:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher vector4.cpp
2022-12-01 18:44:41.465:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher vector3.cpp
2022-12-01 18:44:41.465:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher vector2.cpp
2022-12-01 18:44:41.465:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher dir_section.cpp
2022-12-01 18:44:41.465:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher access_monitor.cpp
2022-12-01 18:44:41.465:   ERROR: Unable to read app_type.xml, cannot retrieve active content type
2022-12-01 18:44:41.466:   INFO: Added res path: "P:/res/.jit/output/"
2022-12-01 18:44:41.466:   INFO: Added res path: "P:/res/.jit/intermediate/"
2022-12-01 18:44:41.466:   INFO: Added res path: "P:/temp/lite_ue_1.19/res/"
2022-12-01 18:44:41.467:   INFO: Moo::init: Render device init with options={Graphics API: Null render device}, selection reason: Asset Processor, available: true 
2022-12-01 18:44:41.473:   INFO: This adapter supports A8R8G8B8 back buffers
2022-12-01 18:44:41.473:   INFO: Adapter memory: dedicatedVideo 0, dedicatedSystem 0, sharedSystem 0
2022-12-01 18:44:41.474:   INFO: RenderSystem::createDevice - available texture memory after create: 0kb
2022-12-01 18:44:41.478:   INFO: Loading Plugin wot_space_converter as specified in file
2022-12-01 18:44:41.478:   INFO: Loading plugin file P:/temp/lite_ue_1.19/asset_pipeline/wot_space_converter.dll
2022-12-01 18:44:41.479:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher texture_manager.cpp
2022-12-01 18:44:41.479:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher render_system.cpp
2022-12-01 18:44:41.479:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher graphics_settings_picker.cpp
2022-12-01 18:44:41.479:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher graphics_settings.cpp
2022-12-01 18:44:41.479:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher managed_texture.cpp
2022-12-01 18:44:41.479:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher animating_texture.cpp
2022-12-01 18:44:41.479:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher atlas_texture.cpp
2022-12-01 18:44:41.479:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher sys_mem_texture.cpp
2022-12-01 18:44:41.479:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher texture_compressor.cpp
2022-12-01 18:44:41.479:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher vertex_declaration.cpp
2022-12-01 18:44:41.479:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher bw_resil.cpp
2022-12-01 18:44:41.480:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher primitive_manager.cpp
2022-12-01 18:44:41.480:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher render_system_resource_management.cpp
2022-12-01 18:44:41.480:   ERROR: DirectoryWatcher::addChild: tried to replace existing watcher scene_shared_resources.cpp
